fid,gemeentecode,gemeentenaam,water,omgevingsadressendichtheid,stedelijkheidAdressenPerKm2,bevolkingsdichtheidInwonersPerKm2,aantalInwoners,mannen,vrouwen,percentagePersonen0Tot15Jaar,percentagePersonen15Tot25Jaar,percentagePersonen25Tot45Jaar,percentagePersonen45Tot65Jaar,percentagePersonen65JaarEnOuder,percentageOngehuwd,percentageGehuwd,percentageGescheid,percentageVerweduwd,aantalHuishoudens,percentageEenpersoonshuishoudens,percentageHuishoudensZonderKinderen,percentageHuishoudensMetKinderen,gemiddeldeHuishoudsgrootte,percentageWesterseMigratieachtergrond,percentageNietWesterseMigratieachtergrond,percentageUitMarokko,percentageUitNederlandseAntillenEnAruba,percentageUitSuriname,percentageUitTurkije,percentageOverigeNietwestersemigratieachtergrond,oppervlakteTotaalInHa,oppervlakteLandInHa,oppervlakteWaterInHa,jaarstatcode,jaar,fuuid,Greenesscount,Greenesssum,Greenessmean
"1",GM0014,Groningen,NEE,"3312","1","1257","233273","116177","117096","12","21","30","22","15","66","24","7","4","136508","59","23","19",1.7,"13","12","1","0","1","1","9","19796","18560","1236",2021GM0014,"2021",gemeenten2021.da78b6c2-9c4c-4644-b4c6-9a7d9bd40f87,22915,-1558139.35349999,-67.9964806240451
"2",GM0034,Almere,NEE,"1616","2","1662","214715","106523","108192","18","13","28","28","12","53","36","9","3","90426","32","25","43",2.3,"11","34","4","0","12","2","16","24877","12919","11958",2021GM0034,"2021",gemeenten2021.560f08ed-061e-4424-87bd-e3a7ac2e15e9,15804,-2115320.59700001,-133.847165084789
"3",GM0037,Stadskanaal,NEE,"836","4","270","31754","15659","16095","14","11","20","30","26","41","43","9","8","14604","36","33","31",2.1,"5","4","0","0","0","0","3","11994","11764","230",2021GM0037,"2021",gemeenten2021.5ec518c5-c8be-4f1d-bb6e-2050ab780e5f,13814,-754621.2469,-54.6272800709425
"4",GM0047,Veendam,NEE,"1007","3","361","27417","13700","13717","15","11","21","30","23","43","41","9","6","12676","35","32","33",2.1,"6","8","0","0","1","3","4","7868","7600","268",2021GM0047,"2021",gemeenten2021.41109a23-fa5f-427c-a59c-ca9669358a2b,9081,-427103.1437,-47.0326113533752
"5",GM0050,Zeewolde,NEE,"822","4","93","22879","11662","11217","17","13","24","31","14","46","43","8","3","9720","31","30","39",2.3,"12","6","0","0","1","0","4","26886","24723","2163",2021GM0050,"2021",gemeenten2021.38219389-9b0c-443e-95e3-764e2733b905,28667,-1859006.20139999,-64.8482994872151
"6",GM0059,Achtkarspelen,NEE,"429","5","273","27900","14217","13683","17","12","22","28","21","46","42","7","6","11845","31","32","38",2.3,"2","2","0","0","0","0","2","10398","10223","175",2021GM0059,"2021",gemeenten2021.f8d6a4fa-c3c7-40af-974e-6f1503226ef7,12036,-444450.6074,-36.9267703057494
"7",GM0060,Ameland,NEE,"255","5","63","3746","1885","1861","15","11","23","27","24","47","42","6","6","1768","40","31","29",2.1,"6","2","0","0","0","0","2","26850","5911","20939",2021GM0060,"2021",gemeenten2021.b6b01d42-d5b3-4f89-a428-7aade556d9f0,6948,-235047.169200002,-33.8294716753025
"8",GM0072,Harlingen,NEE,"1086","3","633","15807","7926","7881","14","11","20","29","26","44","40","10","6","7566","39","31","29",2.1,"8","5","1","0","1","0","3","38767","2496","36271",2021GM0072,"2021",gemeenten2021.b815f1c7-f25e-4433-8fef-fa249facf143,2989,-115823.2566,-38.7498349280695
"9",GM0074,Heerenveen,NEE,"1092","3","266","50650","25207","25443","16","12","22","29","22","46","39","8","6","22960","36","31","33",2.2,"6","7","1","0","1","1","4","19817","19009","808",2021GM0074,"2021",gemeenten2021.c6c7c5dd-b04d-4942-b2d5-d39cc8685fbd,22837,-1740746.2397,-76.2248211104785
"10",GM0080,Leeuwarden,NEE,"2148","2","523","124481","61941","62540","15","15","26","26","19","54","32","9","5","63416","47","27","27",1.9,"8","10","1","0","1","0","7","25506","23782","1724",2021GM0080,"2021",gemeenten2021.89fded14-e075-46f2-83f6-ed5161ef575c,29516,-1183229.697,-40.0877387518632
"11",GM0085,Ooststellingwerf,NEE,"482","5","114","25464","12770","12694","15","10","20","30","25","43","43","8","6","11308","33","35","32",2.2,"4","3","0","0","0","0","2","22611","22342","269",2021GM0085,"2021",gemeenten2021.cfac195b-88a9-43f6-aabd-9d2a3798b354,26035,-1645531.97010001,-63.2046080314964
"12",GM0086,Opsterland,NEE,"412","5","133","29812","14954","14858","16","12","20","30","22","45","43","7","6","12616","31","34","36",2.3,"4","3","0","0","0","0","3","22764","22440","324",2021GM0086,"2021",gemeenten2021.4a7d29cb-73df-4bff-b2b9-d1961d26c1dc,26231,-1637200.78439999,-62.414730067477
"13",GM0088,Schiermonnikoog,NEE,"317","5","23","931","481","450","9","10","18","33","30","41","41","11","6","536","53","29","18",1.7,"8","3","0","0","0","0","2","20356","4076","16280",2021GM0088,"2021",gemeenten2021.06d11d85-e8bb-4665-8b5b-840491cbecc7,4793,-643934.182299999,-134.348880095973
"14",GM0090,Smallingerland,NEE,"1341","3","478","56040","27978","28062","16","12","23","28","22","47","40","8","5","25054","37","30","34",2.2,"5","7","0","0","1","0","5","12617","11731","887",2021GM0090,"2021",gemeenten2021.2c8f8685-e955-40fa-b771-8f1880795f61,14562,-730305.242600003,-50.1514381678343
"15",GM0093,Terschelling,NEE,"250","5","57","4870","2493","2377","11","15","20","29","24","48","38","8","6","2530","47","30","23",1.9,"6","2","0","0","0","0","2","67399","8526","58873",2021GM0093,"2021",gemeenten2021.f2cf3af7-b0c4-4dff-957c-78ab6b8e20ec,9988,-853207.6351,-85.4232714357229
